Wafer,Session,Die,Device,TestSite,DieCol,DieRow,Band,n_lengths,Loss_per_um_dB_per_um,Loss_intercept_dB,Loss_R2,Modulation_per_um_dB_per_V_per_um,Modulation_intercept_dB_per_V,Modulation_R2
D07,20190715_190855,"(-1,-1)",PCM_PSLCTE_P1N1,PCM_PSLCTE_P1N1,-1,-1,C,3,-0.001787752361580782,0.286860064459535,0.9993880308512009,-0.00010524214673569676,0.009460103496475119,0.9968619059155716
D07,20190715_190855,"(-1,-4)",PCM_PSLCTE_P1N1,PCM_PSLCTE_P1N1,-1,-4,C,3,-0.002054009048187197,0.2433007146982908,0.9982958464564418,-0.00010739077680309895,0.005255333670771348,0.987961857121705
D07,20190715_190855,"(-1,2)",PCM_PSLCTE_P1N1,PCM_PSLCTE_P1N1,-1,2,C,3,-0.0015276636142944131,-0.07415016662482839,0.9990727954680511,-9.962853359916296e-05,-0.01860467462079315,0.9995570500653508
D07,20190715_190855,"(-3,-1)",PCM_PSLCTE_P1N1,PCM_PSLCTE_P1N1,-3,-1,C,3,-0.001592326873715555,0.306846075890991,0.9993519976207971,-0.00010868181112234137,0.0067545310154190005,0.9959554190751103
D07,20190715_190855,"(-3,-3)",PCM_PSLCTE_P1N1,PCM_PSLCTE_P1N1,-3,-3,C,3,-0.0021124165609874407,0.35241502435746674,0.9996509205120971,-0.00012606599299961414,0.01912478757714819,0.9968372301536126
D07,20190715_190855,"(-3,2)",PCM_PSLCTE_P1N1,PCM_PSLCTE_P1N1,-3,2,C,3,-0.001721652852839738,-0.029545074813343904,0.9979106186196024,-9.001830814515635e-05,-0.031349250187441335,0.9992006770285793
D07,20190715_190855,"(-4,0)",PCM_PSLCTE_P1N1,PCM_PSLCTE_P1N1,-4,0,C,3,-0.001925619142314076,0.2528450406324339,0.9998548068243402,-0.00012886346490254138,0.03483365772337943,0.993964613184125
D07,20190715_190855,"(0,-3)",PCM_PSLCTE_P1N1,PCM_PSLCTE_P1N1,0,-3,C,3,-0.001680535539908577,0.22122278657841044,0.9998670998200611,-9.775597058574485e-05,-0.016858282116117965,0.9995175152589058
D07,20190715_190855,"(0,0)",PCM_PSLCTE_P1N1,PCM_PSLCTE_P1N1,0,0,C,3,-0.0018978143477835056,0.33157908230461636,0.9986688953537952,-0.0001140788243427826,0.012604563303412081,0.99999952791102
D07,20190715_190855,"(0,3)",PCM_PSLCTE_P1N1,PCM_PSLCTE_P1N1,0,3,C,3,-0.0017488032446967225,0.19097289446574242,0.9944643774514165,-0.00010936444846008941,-0.00382397383711346,0.9991054827168716
D07,20190715_190855,"(2,-3)",PCM_PSLCTE_P1N1,PCM_PSLCTE_P1N1,2,-3,C,3,-0.001972912834655815,0.1785461521400268,0.9998517431184782,-0.00010444049610610807,-0.02392713604131534,0.9517974825551776
D07,20190715_190855,"(2,0)",PCM_PSLCTE_P1N1,PCM_PSLCTE_P1N1,2,0,C,3,-0.0017947638408810332,1.6315701795778221,0.9980268011908549,-0.00010192989912689209,-0.03615899883211331,0.9997900791422033
D07,20190715_190855,"(2,2)",PCM_PSLCTE_P1N1,PCM_PSLCTE_P1N1,2,2,C,3,-0.0018958962889278571,0.2756721223464131,0.9992145240178136,-0.00012840397934582606,0.014748504622279578,0.9647196266485967
D07,20190715_190855,"(3,-1)",PCM_PSLCTE_P1N1,PCM_PSLCTE_P1N1,3,-1,C,3,-0.0019772725098059184,13.175068890558691,0.9986892830336516,-0.00013922518915858743,0.0416503223674373,0.9999999871120822
D08,20190526_082853,"(-1,-1)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-1,-1,O,3,-0.001073738999508397,0.14542345754407576,0.9971212540191848,-6.006043842903962e-05,-0.012598283348438663,0.9503001970109293
D08,20190526_082853,"(-1,-4)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-1,-4,O,3,-0.0011183280007674168,0.03883574981766758,0.9995114200440989,-4.977164185419223e-05,-0.029971534565693275,0.870763197243519
D08,20190526_082853,"(-1,2)",PCM_PSLOTE_P1N1,PCM_PSLOTE_P1N1,-1,2,O,3,-0.0010697542970830782,0.2442859620022417,0.9999969379260981,-8.42337413778744e-05,0.023749681003969517,0.9794327583530118
