Wafer,Session,Die,DieCol,DieRow,Device,TestSite,Band,Bias_V,Feature,Centre_nm,FWHM_nm,Q_factor,PeakAmp_dB,LeftEdge_nm,RightEdge_nm
D08,20190712_113254,"(-3,-1)",-3,-1,MZMCTE_LULAB_450_500,DCM_LMZC,C,-2.0,peak,1551.028273,7.043293370265701,220.21349835403618,2.275794840822826,1547.7349265948824,1554.778219965148
D08,20190712_113254,"(3,-1)",3,-1,MZMCTE_LULAB_450_500,DCM_LMZC,C,-2.0,peak,1554.08041381,7.053275466163768,220.3345695578305,1.79037840589789,1550.3381052708355,1557.3913807369993
D08,20190712_113254,"(-3,-3)",-3,-3,MZMCTE_LULAB_450_500,DCM_LMZC,C,-2.0,peak,1556.1766497,7.270344044055037,214.04443039700251,1.6751683388208463,1552.3587865737782,1559.6291306178332
D08,20190712_113254,"(0,-3)",0,-3,MZMCTE_LULAB_450_500,DCM_LMZC,C,-2.0,peak,1548.59411702,7.080408504509933,218.7153631084433,2.375760278725636,1544.865735903312,1551.946144407822
D08,20190712_113254,"(2,-3)",2,-3,MZMCTE_LULAB_450_500,DCM_LMZC,C,-2.0,peak,1545.10081019,6.745718248195544,229.04911728314607,2.8582195920369813,1541.7547026424681,1548.5004208906637
D08,20190712_113254,"(-1,-4)",-1,-4,MZMCTE_LULAB_450_500,DCM_LMZC,C,-2.0,peak,1553.21987333,6.9582298709085535,223.2205463380577,1.7568853235644593,1549.882999312128,1556.8412291830366
D08,20190712_113254,"(-4,0)",-4,0,MZMCTE_LULAB_450_500,DCM_LMZC,C,-2.0,peak,1543.90501078,6.67463152353298,231.30939967795985,2.7312018290638953,1540.2769026695296,1546.9515341930626
D08,20190712_113254,"(0,0)",0,0,MZMCTE_LULAB_450_500,DCM_LMZC,C,-2.0,peak,1555.01870339,7.082715584481775,219.55119965526285,1.7653573152183384,1551.7019490024556,1558.7846645869374
D08,20190712_113254,"(2,0)",2,0,MZMCTE_LULAB_450_500,DCM_LMZC,C,-2.0,peak,1556.98228303,7.175481436212294,216.9864554554378,1.6911427165690611,1553.2868716289872,1560.4623530651995
D08,20190712_113254,"(-1,2)",-1,2,MZMCTE_LULAB_450_500,DCM_LMZC,C,-2.0,peak,1553.18339307,7.145927398285494,217.35224926055807,1.7031819345942516,1549.671707313335,1556.8176347116205
D08,20190712_113254,"(-3,2)",-3,2,MZMCTE_LULAB_450_500,DCM_LMZC,C,-2.0,peak,1550.45515678,7.0157772031934655,220.9954951354867,2.2751869584387947,1546.9226234657326,1553.938400668926
D08,20190712_113254,"(2,2)",2,2,MZMCTE_LULAB_450_500,DCM_LMZC,C,-2.0,peak,1543.54376301,6.970119162670699,221.45156015074062,2.704862049090316,1540.3214012104756,1547.2915203731463
D08,20190712_113254,"(0,3)",0,3,MZMCTE_LULAB_450_500,DCM_LMZC,C,-2.0,peak,1554.5835253,6.999702914534282,222.09278654841776,1.7421804202300724,1551.3772086821757,1558.37691159671
D23,20190531_072042,"(-1,-1)",-1,-1,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1309.8324,4.862853658697759,269.3546818249852,1.9918157158244867,1307.2888235864302,1312.151677245128
D23,20190531_072042,"(-3,-1)",-3,-1,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1312.3836,4.763561807069664,275.50468602134526,1.4496369686094113,1310.209852046615,1314.9734138536846
D23,20190531_072042,"(3,-1)",3,-1,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1309.8814,4.773214909420858,274.42330271253803,1.8902400955557823,1307.5924702452362,1312.365685154657
D23,20190531_072042,"(-3,-3)",-3,-3,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1312.4092,4.645550733941263,282.50885097676206,1.7790745835518464,1309.9421672380404,1314.5877179719816
D23,20190531_072042,"(0,-3)",0,-3,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1307.8007,4.7982002783815005,272.5606736118025,1.9659200224486995,1305.7878052537603,1310.5860055321418
D23,20190531_072042,"(2,-3)",2,-3,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1305.7104,4.541328821279649,287.51725571637394,1.715367940327269,1303.455632271493,1307.9969610927726
D23,20190531_072042,"(-1,-4)",-1,-4,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1314.0176,4.873818389498183,269.6074196837879,1.879803126983461,1311.8302952008405,1316.7041135903387
D23,20190531_072042,"(-4,0)",-4,0,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1308.5048,4.616112751837591,283.4646531281343,2.0855243114638142,1306.160753341294,1310.7768660931315
D23,20190531_072042,"(0,0)",0,0,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1309.7844,5.0333122623433155,260.22315559460543,1.9955886869720416,1307.1962150425968,1312.2295273049401
D23,20190531_072042,"(2,0)",2,0,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1308.4534,4.911388782217273,266.4121001248229,1.9851450699861743,1306.3778952020245,1311.2892839842418
D23,20190531_072042,"(-1,2)",-1,2,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1309.7862,4.988929354114816,262.5385342287323,2.0118183047743514,1307.571713573992,1312.5606429281067
D23,20190531_072042,"(-3,2)",-3,2,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1313.9463,4.869580408628508,269.827416274263,1.9605507095111534,1311.6089862335498,1316.4785666421783
D23,20190531_072042,"(2,2)",2,2,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1306.4186,4.720227680677681,276.7702510088323,1.7359238259959966,1304.120796243249,1308.8410239239267
D23,20190531_072042,"(0,3)",0,3,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1305.7275,4.565302054962103,286.01119581579115,1.7153203336056322,1303.476290838443,1308.041592893405
D23,20190603_204847,"(-1,-1)",-1,-1,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1309.8392,4.805239249905753,272.58563661022504,2.0128728669515112,1307.4686522537945,1312.2738915037003
D23,20190603_204847,"(-3,-1)",-3,-1,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1312.6403,4.770773291846581,275.1420408601994,1.599937116727233,1310.4209488549393,1315.1917221467859
D23,20190603_204847,"(3,-1)",3,-1,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1309.8796,4.896199466256121,267.52986863127114,1.902837448520586,1307.7583978612174,1312.6545973274735
D23,20190603_204847,"(-3,-3)",-3,-3,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1312.6606,4.556903572892679,288.05977107098084,1.7880801049177535,1310.1481293250579,1314.7050328979506
D23,20190603_204847,"(0,-3)",0,-3,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1308.4308,4.791795765511324,273.0564623428561,2.010741644910013,1305.9876013917672,1310.7793971572785
D23,20190603_204847,"(2,-3)",2,-3,MZMOTE_LULAB_380_500,DCM_LMZO,O,-2.0,peak,1305.7073,4.699138028028983,277.8610230667493,1.7197715937509201,1303.607730776734,1308.3068688047629
